Sub-Activity,Functional Group,Species Common Name,Combined Consequence and Confidence Score
Wave energy,Pinnipeds and Otters,Pinnipeds and Otters,LOW
Wave energy,Sea turtles,Sea turtles,LOW
Wave energy,Microalgae and phytoplankton,Microalgae and phytoplankton,LOW
Wave energy,Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,VERY HIGH
Log storage and handling,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Log storage and handling,Pacific salmon,Pacific salmon,HIGH
Log storage and handling,Crabs,Crabs,MEDIUM
Log storage and handling,Crabs,Dungeness crab,MEDIUM
Log storage and handling,Crabs,Squat lobster ,MEDIUM
Log storage and handling,Infaunal bivalves,Infaunal bivalves,HIGH
Log storage and handling,Benthic feeders/surface bioturbators,Benthic feeders/surface bioturbators,HIGH
Log storage and handling,Eelgrass and associated assemblages,Eelgrass and associated assemblages,HIGH
Log storage and handling,Estuaries,Estuaries,HIGH
Log transportation,Estuaries,Estuaries,HIGH
NA,Forage fish,Forage fish,MEDIUM
NA,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
NA,Crabs,Crabs,HIGH
Desalination,Flatfish,Flatfish,LOW
Desalination,Intertidal algae,Intertidal algae,LOW
Desalination,Microalgae and phytoplankton,Microalgae and phytoplankton,LOW
Desalination,Burrowing invertebrates,Burrowing invertebrates,LOW
Other Industrial Uses,Mesopelagic Fish,Mesopelagic Fish,MEDIUM
Other Industrial Uses,Zooplankton,Zooplankton,MEDIUM
Sewage effluent from terrestrial outfall areas,Pinnipeds and Otters,Pinnipeds and Otters,MEDIUM
Sewage effluent from terrestrial outfall areas,Pacific salmon,Pacific salmon,MEDIUM
Sewage effluent from terrestrial outfall areas,Epifaunal bivalves,Epifaunal bivalves,MEDIUM
Dumping of dredged soils and other materials,Mesopelagic Fish,Mesopelagic Fish,MEDIUM
Dumping of dredged soils and other materials,Orca/killer whales,Orca/Killer Whale,HIGH
Dumping of dredged soils and other materials,Crabs,Crabs,HIGH
Seafloor electrical / communication cables,Demersal sharks/skates,Demersal sharks/skates,LOW
Seafloor electrical / communication cables,Pacific salmon,Pacific salmon,LOW
Seafloor electrical / communication cables,Baleen Whales,Baleen Whales,LOW
Seafloor electrical / communication cables,Glass Sponges,Glass Sponges,HIGH
Seafloor electrical / communication cables,Seabird nesting colonies & associated assemblages,Seabird nesting colonies & associated assemblages,LOW
Seafloor pipelines for transporting oil and gas,Rockfish (any),Rockfish (any),LOW
Seafloor pipelines for transporting oil and gas,Pinnipeds and Otters,Pinnipeds and Otters,LOW
Construction of marine infrastructure,Flatfish,Flatfish,MEDIUM
Construction of marine infrastructure,Pacific salmon,Pacific salmon,MEDIUM
Construction of marine infrastructure,Baleen Whales,Baleen Whales,MEDIUM
Construction of marine infrastructure,Dolphins and porpoises,Dolphins and porpoises,LOW
Construction of marine infrastructure,Pinnipeds and Otters,Pinnipeds and Otters,LOW
Construction of marine infrastructure,Coastal piscivores,Coastal piscivores,LOW
Near-water construction,Estuaries,Estuaries,HIGH
Near-water construction,Forage fish,Forage fish,MEDIUM
Near-water construction,Pacific salmon,Pacific salmon,MEDIUM
Near-water construction,Infaunal bivalves,Infaunal bivalves,MEDIUM
Near-water construction,Seabird nesting colonies & associated assemblages,Seabird nesting colonies & associated assemblages,MEDIUM
Near-water construction,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
In-water construction,Pacific salmon,Pacific salmon,MEDIUM
In-water construction,Forage fish,Forage fish,MEDIUM
NA,Estuaries,Estuaries,LOW
NA,Rocky Reefs,Rocky Reefs,LOW
NA,Soft Shelf,Soft Shelf,LOW
Mid-water gill-nets,Green sturgeon,Green sturgeon,HIGH
Trap,Estuaries,Estuaries,MEDIUM
Trap,Rocky Reefs,Rocky Reefs,MEDIUM
Trap,Hard Shelf,Hard Shelf,MEDIUM
Bottom Trawling,Other groundfish,Other groundfish,MEDIUM
Bottom Trawling,Other groundfish,Wolf-eel,MEDIUM
Bottom Trawling,Green sturgeon,Green sturgeon,HIGH
Bottom Trawling,Estuaries,Estuaries,MEDIUM
Bottom Trawling,Rocky Reefs,Rocky Reefs,MEDIUM
Bottom Trawling,Soft Shelf,Soft Shelf,HIGH
Bottom Trawling,Hard Shelf,Hard Shelf,MEDIUM
Hook and Line,"Offshore, migratory pelagic birds",Northern Fulmar ,VERY HIGH
Hook and Line,Other groundfish,Other groundfish,MEDIUM
Hook and Line,Other groundfish,Wolf-eel,MEDIUM
Hook and Line,Forage fish,Forage fish,MEDIUM
Hook and Line,Forage fish,Shiner perch,MEDIUM
Hook and Line,Estuaries,Estuaries,MEDIUM
Hook and Line,Rocky Reefs,Rocky Reefs,LOW
Hook and Line,Soft Shelf,Soft Shelf,LOW
Hook and Line,Hard Shelf,Hard Shelf,LOW
Intertidal Picking,Estuaries,Estuaries,VERY HIGH
Intertidal Picking,Rocky Reefs,Rocky Reefs,HIGH
Intertidal Picking/Pressure Hose,Soft Shelf,Soft Shelf,HIGH
Intertidal Picking/Pressure Hose,Hard Shelf,Hard Shelf,MEDIUM
Finfish Aquaculture,Estuaries,Estuaries,MEDIUM
Finfish Aquaculture,Rocky Reefs,Rocky Reefs,HIGH
Finfish Aquaculture,Soft Shelf,Soft Shelf,MEDIUM
Finfish Aquaculture,Hard Shelf,Hard Shelf,MEDIUM
Shellfish Aquaculture,Estuaries,Estuaries,HIGH
Shellfish Aquaculture,Rocky Reefs,Rocky Reefs,LOW
Shellfish Aquaculture,Soft Shelf,Soft Shelf,MEDIUM
Marine Plant Aquaculture,Estuaries,Estuaries,LOW
Oil and Gas,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Oil and Gas,Estuaries,Estuaries,HIGH
Oil and Gas,Rocky Reefs,Rocky Reefs,MEDIUM
Oil and Gas,Soft Shelf,Soft Shelf,HIGH
Oil and Gas,Hard Shelf,Hard Shelf,HIGH
Catastrophic oil spills,Wetland and coastal birds,Wetland and coastal birds,MEDIUM
Catastrophic oil spills,Wetland and coastal birds,Long-tailed duck,MEDIUM
Catastrophic oil spills,Intertidal/shallow subtidal insectivores or omnivores,Black turnstone,HIGH
Wind Power,Soft Shelf,Soft Shelf,HIGH
Wind Power,Hard Shelf,Hard Shelf,HIGH
Wind Power,Rocky Reefs,Rocky Reefs,HIGH
Tidal Barrage,Estuaries,Estuaries,LOW
Tidal Stream,Soft Shelf,Soft Shelf,HIGH
Wave energy,Hard Shelf,Hard Shelf,HIGH
Wave energy,Rocky Reefs,Rocky Reefs,HIGH
Large vessels (cargo and cruise ships),Estuaries,Estuaries,VERY HIGH
Large vessels (cargo and cruise ships),Rocky Reefs,Rocky Reefs,MEDIUM
Large vessels (cargo and cruise ships),Soft Shelf,Soft Shelf,MEDIUM
Vessel Noise,Estuaries,Estuaries,LOW
Vessel Noise,Eelgrass and associated assemblages,Eelgrass and associated assemblages,LOW
Sonar,Eelgrass and associated assemblages,Eelgrass and associated assemblages,LOW
Sonar,Estuaries,Estuaries,LOW
Sonar,Rocky Reefs,Rocky Reefs,LOW
Sonar,Soft Shelf,Soft Shelf,LOW
Sonar,Soft Shelf,Soft Shelf,LOW
SCUBA/Snorkelling,Rocky Reefs,Rocky Reefs,MEDIUM
SCUBA/Snorkelling,Soft Shelf,Soft Shelf,MEDIUM
SCUBA/Snorkelling,Other groundfish,Other groundfish,MEDIUM
SCUBA/Snorkelling,Wolf-eel,Anarrhichthys ocellatus,MEDIUM
Non-Motorized Recreational Boating,Soft Shelf,Soft Shelf,MEDIUM
Motorized Recreational Boating,Estuaries,Estuaries,HIGH
Motorized Recreational Boating,Rocky Reefs,Rocky Reefs,MEDIUM
Motorized Recreational Boating,Soft Shelf,Soft Shelf,MEDIUM
Motorized Recreational Boating,Hard Shelf,Hard Shelf,MEDIUM
Intertidal Exploration,Estuaries,Estuaries,MEDIUM
Intertidal Exploration,Rocky Reefs,Rocky Reefs,MEDIUM
Dredging,Estuaries,Estuaries,VERY HIGH
Dredging,Rocky Reefs,Rocky Reefs,MEDIUM
Dredging,Soft Shelf,Soft Shelf,MEDIUM
Industrial Water Use,Green sturgeon,Green sturgeon,LOW
Sewage effluent from terrestrial outfall areas,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,MEDIUM
Sewage effluent from terrestrial outfall areas,Green sturgeon,Green sturgeon,MEDIUM
Terrestrial Mine Runoff,Pacific salmon,Pacific salmon,HIGH
Terrestrial Mine Runoff,Orca/killer whales,Orca/killer whales,MEDIUM
Terrestrial Mine Runoff,Epifaunal bivalves,Epifaunal bivalves,HIGH
Terrestrial Mine Runoff,Infaunal bivalves,Infaunal bivalves,HIGH
Terrestrial Mine Runoff,Crabs,Crabs,MEDIUM
Terrestrial Mine Runoff,Zooplankton,Zooplankton,MEDIUM
Terrestrial Mine Runoff,Herbivores/grazers,Herbivores/grazers,HIGH
Terrestrial Mine Runoff,Intertidal algae,Intertidal algae,HIGH
Terrestrial Mine Runoff,Microalgae and phytoplankton,Microalgae and phytoplankton,HIGH
Terrestrial Mine Runoff,Kelp bed and associated assemblages,Kelp bed and associated assemblages,MEDIUM
Terrestrial Mine Runoff,Eelgrass and associated assemblages,Eelgrass and associated assemblages,LOW
Terrestrial Mine Runoff,Estuaries,Estuaries,HIGH
Terrestrial Mine Runoff,Soft Shelf,Soft Shelf,HIGH
Pulp and paper mills,Raptors,Raptors,HIGH
Pulp and paper mills,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,MEDIUM
Pulp and paper mills,Pacific salmon,Pacific salmon,HIGH
Pulp and paper mills,Orca/killer whales,Orca/killer whales,MEDIUM
Pulp and paper mills,Epifaunal bivalves,Epifaunal bivalves,MEDIUM
Pulp and paper mills,Infaunal bivalves,Infaunal bivalves,HIGH
Pulp and paper mills,Crabs,Crabs,MEDIUM
Pulp and paper mills,Herbivores/grazers,Herbivores/grazers,MEDIUM
Pulp and paper mills,Intertidal algae,Intertidal algae,HIGH
Pulp and paper mills,Microalgae and phytoplankton,Microalgae and phytoplankton,HIGH
Pulp and paper mills,Estuaries,Estuaries,HIGH
Pulp and paper mills,Soft Shelf,Soft Shelf,HIGH
Chronic oil pollution,Flatfish,Flatfish,MEDIUM
Chronic oil pollution,Pinnipeds and Otters,Pinnipeds and Otters,MEDIUM
Chronic oil pollution,Estuaries,Estuaries,MEDIUM
Chronic oil pollution,Soft Shelf,Soft Shelf,MEDIUM
Catastrophic oil spills,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,MEDIUM
Chronic oil pollution,Pacific salmon,Pacific salmon,MEDIUM
Chronic oil pollution,Orca/killer whales,Orca/killer whales,MEDIUM
Catastrophic oil spills,Herbivores/grazers,Herbivores/grazers,MEDIUM
Catastrophic oil spills,Estuaries,Estuaries,MEDIUM
Catastrophic oil spills,Soft Shelf,Soft Shelf,MEDIUM
Seafloor pipelines for transporting oil and gas,Estuaries,Estuaries,MEDIUM
Seafloor pipelines for transporting oil and gas,Rocky Reefs,Rocky Reefs,LOW
Seafloor pipelines for transporting oil and gas,Soft Shelf,Soft Shelf,MEDIUM
Seafloor pipelines for transporting oil and gas,Hard Shelf,Hard Shelf,MEDIUM
Near-water construction,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Near-water construction,Estuaries,Estuaries,HIGH
Near-water construction,Rocky Reefs,Rocky Reefs,MEDIUM
Near-water construction,Soft Shelf,Soft Shelf,MEDIUM
Near-water construction,Hard Shelf,Hard Shelf,MEDIUM
Hook and Liine,"Offshore, migratory pelagic birds","Offshore, migratory pelagic birds",MEDIUM
